id,product_name,buy_date,price,expiration_date
2,pilau,2023-06-17,9.18,2023-08-28
3,pilau,2023-08-01,4.74,2023-08-23
4,hamburger,2023-06-10,4.01,2023-08-05
5,seasoning,2023-06-24,4.28,2023-07-28
6,donut,2023-06-28,7.69,2023-08-20
7,boysenberry,2023-07-25,0.93,2023-08-23
8,pate,2023-07-20,3.71,2023-08-24
9,frijj,2023-06-19,4.46,2023-08-29
10,guinea hen,2023-08-07,5.9,2023-09-06
11,beef bourguignonne,2023-06-13,1.41,2023-07-20
12,bacardi,2023-06-09,3.34,2023-07-11
13,chablis,2023-08-08,5.62,2023-09-03
14,beef bourguignonne,2023-07-25,9.66,2023-08-05
15,ginger ale,2023-08-21,6.6,2023-11-02
16,greek yogurt,2023-08-11,1.04,2023-10-27
17,cooking oil,2023-06-21,4.56,2023-08-08
18,rice cake,2023-08-13,1.23,2023-10-21
19,gem squash,2023-07-07,5.98,2023-09-29
20,dried mixed fruit,2023-08-13,6.99,2023-10-06
21,natal plum,2023-06-13,9.61,2023-07-04
22,ice cream bar,2023-08-05,6.69,2023-10-18
23,pakora,2023-06-27,4.68,2023-09-10
24,complan powder,2023-08-17,1.11,2023-09-08
25,bacardi,2023-07-28,2.28,2023-08-16
26,prosciutto,2023-07-06,1.63,2023-10-09
27,chinese salted fish,2023-07-05,2.24,2023-08-28
28,seasoning,2023-08-05,8.94,2023-08-26
29,bacardi,2023-07-18,5.61,2023-10-08
30,flat bread,2023-07-01,6.22,2023-07-16
31,natal plum,2023-07-02,5.39,2023-08-09
32,elderberry,2023-07-12,6.98,2023-08-17
33,hamburger,2023-07-11,2.94,2023-08-04
34,liver loaf,2023-08-12,7.68,2023-08-27
35,mincemeat,2023-07-03,1.8,2023-09-06
36,chablis,2023-07-20,1.67,2023-08-22
37,greek yogurt,2023-08-13,8.6,2023-09-07
38,rapini,2023-08-23,3.41,2023-11-17
39,ice cream bar,2023-06-28,5.24,2023-07-20
40,egg,2023-07-11,5.06,2023-08-26
41,champagne,2023-06-21,4.86,2023-08-21
42,veggie burger,2023-07-04,1.26,2023-08-10
43,japanese chestnut,2023-06-09,5.46,2023-08-29
44,fruit pastille,2023-06-22,3.03,2023-08-18
45,poppy,2023-06-21,4.72,2023-08-10
46,ginger ale,2023-07-18,1.07,2023-10-05
47,fruit pastille,2023-07-23,3.58,2023-09-13
48,passion fruit juice,2023-07-28,6.93,2023-09-25
49,ice cream bar,2023-06-10,8.11,2023-09-05
50,cocoa butter alternative,2023-08-09,2.01,2023-09-03
51,spiny lobster,2023-08-06,9.28,2023-09-03
52,rice cake,2023-08-10,9.08,2023-11-05
53,boiled egg,2023-06-24,2.62,2023-09-17
54,ginger ale,2023-06-07,2.53,2023-09-12
55,cardamom,2023-06-28,2.03,2023-07-29
56,complan powder,2023-07-07,8.13,2023-10-02
57,cheese spread,2023-07-03,0.77,2023-09-20
58,allspice,2023-07-12,2.14,2023-09-25
59,peanut butter,2023-08-13,9.28,2023-09-08
60,donut,2023-07-09,8.39,2023-09-02
61,salt,2023-08-11,9.09,2023-10-14
62,liver loaf,2023-08-10,0.94,2023-09-30
63,greek yogurt,2023-06-25,6.85,2023-09-05
64,salt,2023-06-23,9.45,2023-07-10
65,syrup,2023-06-18,2.15,2023-08-18
66,dried mixed fruit,2023-07-25,1.41,2023-08-23
67,mincemeat,2023-06-18,4.4,2023-08-11
68,kitchen utensil,2023-07-06,4.55,2023-08-22
69,pilau,2023-08-15,1.95,2023-08-29
70,champagne,2023-08-12,7.05,2023-10-24
71,sambar,2023-08-23,6.37,2023-11-20
72,jackfruit,2023-07-23,9.47,2023-10-14
73,mincemeat,2023-08-12,4.17,2023-08-30
74,egg,2023-08-21,6.17,2023-10-14
75,mincemeat,2023-06-15,5.76,2023-08-17
76,elderberry,2023-07-20,2.21,2023-08-06
77,champagne,2023-08-20,0.94,2023-11-27
78,kitchen utensil,2023-06-29,8.5,2023-09-27
79,applewood bacon,2023-08-08,1.63,2023-10-13
80,rapini,2023-07-12,5.64,2023-08-22
