id,bought_id,product_name,sell_date,sell_price
2,2,pilau,2023-06-28,16.43
3,6,donut,2023-07-02,16.23
4,8,pate,2023-07-23,7.09
5,9,frijj,2023-08-21,7.72
6,23,pakora,2023-07-24,10.81
7,29,bacardi,2023-08-18,9.31
8,32,elderberry,2023-08-04,16.54
9,35,mincemeat,2023-07-15,4.09
10,36,chablis,2023-08-19,2.96
11,41,champagne,2023-08-13,7.34
12,42,veggie burger,2023-07-24,1.86
13,43,japanese chestnut,2023-07-29,9.06
14,44,fruit pastille,2023-07-03,6.51
15,45,poppy,2023-07-31,7.88
16,46,ginger ale,2023-07-31,1.9
17,47,fruit pastille,2023-08-07,6.59
18,50,cocoa butter alternative,2023-08-12,3.64
19,53,boiled egg,2023-07-30,4.19
20,54,ginger ale,2023-08-07,4.88
21,55,cardamom,2023-07-06,4.51
22,56,complan powder,2023-08-07,19.35
23,57,cheese spread,2023-08-20,1.28
24,59,peanut butter,2023-08-19,15.96
25,60,donut,2023-08-19,11.83
26,63,greek yogurt,2023-07-29,11.1
27,64,salt,2023-06-28,22.49
28,65,syrup,2023-08-07,4.26
29,66,dried mixed fruit,2023-08-09,3.1
30,75,mincemeat,2023-07-24,10.48
31,80,rapini,2023-07-19,13.42
32,81,applewood bacon,2023-08-09,9.7
33,83,jabuticaba,2023-08-13,8.93
34,84,cheeseburger,2023-07-27,1.58
35,85,complan powder,2023-07-15,16.76
36,88,spinach,2023-07-29,15.23
37,92,bacardi,2023-07-03,13.92
38,93,elderberry,2023-07-12,15.88
39,94,ginger ale,2023-08-19,5.38
40,101,organic sausage,2023-08-10,7.41
41,105,complan powder,2023-07-15,12.17
42,113,consomme,2023-06-13,15.05
43,117,chilli con carne,2023-07-22,4.35
44,119,poppy,2023-06-20,2.22
45,120,ginger ale,2023-08-13,7.68
46,123,champagne,2023-08-22,2.42
47,125,pate,2023-07-31,7.06
48,126,trout,2023-07-22,9.01
49,130,sparkleberry,2023-07-19,19.63
50,142,risotto,2023-08-14,11.75
51,143,dried mixed fruit,2023-08-23,14.26
52,148,donut,2023-07-16,2.81
53,150,salt,2023-08-10,11.37
54,152,poppy,2023-06-27,17.65
55,155,passion fruit juice,2023-07-30,18.59
56,156,complan powder,2023-07-07,17.63
57,158,greek yogurt,2023-08-03,15.93
58,160,spiny lobster,2023-06-30,5.68
